Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0337,124,103,227,1029,22.06%,41,175,4,0,0,220
Governor,0338,731,391,1122,4934,22.74%,387,669,12,4,0,1072
Governor,0339,202,222,424,1757,24.13%,98,299,10,3,0,410
Governor,0340,1038,594,1632,3765,43.35%,1222,376,20,5,0,1523
Governor,0341,91,167,258,1290,20.00%,83,170,2,0,0,255
Governor,0342,675,605,1280,6526,19.61%,216,1042,8,4,0,1270
Governor,0343,189,271,460,1964,23.42%,134,304,6,1,0,445
Governor,0344,154,172,326,1160,28.10%,13,303,2,1,0,319
Governor,0345,156,165,321,1804,17.79%,95,209,7,4,0,315
Governor,0346,0,1,1,3,33.33%,1,0,0,0,0,1
Governor,0347,592,436,1028,3387,30.35%,677,316,14,4,0,1011
Governor,0348,438,208,646,1708,37.82%,497,140,4,3,0,644
Governor,0349,188,267,455,1349,33.73%,273,167,11,1,0,452
Governor,0350,525,526,1051,2909,36.13%,393,629,15,6,0,1043
Governor,0352,520,339,859,3205,26.80%,631,202,18,0,0,851
Governor,0353,665,451,1116,3862,28.90%,210,885,5,1,0,1101
Governor,0354,715,338,1053,3388,31.08%,267,766,4,4,0,1041
Governor,0355,301,264,565,1560,36.22%,51,508,0,0,0,559
Governor,0356,594,538,1132,2972,38.09%,713,392,14,3,0,1122
Governor,0357,837,575,1412,3517,40.15%,1009,362,23,4,0,1398
